article_key,manual_scope_decision
http://clarin.com/ciudades/marcha-orgullo-gay-tino-color-reclamos-avenida-mayo_0_Bk4n7rCyM.html,exclude
http://clarin.com/ciudades/Salio-garaje-atropello-mato-hija_0_1457854340.html,exclude
http://clarin.com/mundo/EE-UU-Loretta-Burroughs-descuartizo-marido-guardo-cartera-seis-anos_0_1324067886.html,exclude
http://clarin.com/mundo/ejecucion-Kelly-Gissendaner-historia-infidelidad-codicia-muerte_0_1440456133.html,exclude
http://clarin.com/mundo/encontraron-cuerpo-cerca-aeropuerto-barcelona-sospechan-trata-argentino-investigado-crimen-hijo_0_rBsYO_f4d.html,exclude
http://clarin.com/policiales/creen-mama-chica-asesinada-san-luis-sabia-pareja-violaba_0_HJ6jx5b6e.html,include
http://clarin.com/policiales/crimen-flores-estrangulada-tia-condenas-homicidio_0_1318668162.html,exclude
http://clarin.com/policiales/crimen-sheila-hermana-sabia-marido-pudran-carcel_0_mt10GHW1c.html,include
http://clarin.com/policiales/descubrio-marido-infiel-mato-amante_0_B1WPQ2bxX.html,exclude
http://clarin.com/policiales/femicidio-catamarca-estremecedores-posteos-asesino-brenda-micaela-gordillo_0_FsYkhVAj.html,include
http://clarin.com/policiales/giro-inesperado-caso-mujer-baleada-junto-hija-mar-plata_0_r1iYIdtre.html,exclude
http://clarin.com/policiales/horror-san-luis-conocia-abiertamente-florencia-abusada-dijo-jueza_0_SJJhFNrTx.html,include
http://clarin.com/policiales/-isabel-abrime-dijo-pareja-enfrente-mato-punalada_0_6YuRwve0c.html,exclude
http://clarin.com/policiales/mandado-matar-mama-robarle-ahorros_0_1652234829.html,exclude
http://clarin.com/policiales/marido-obligo-ver-abusaba-hija-14-anos-estrangulo-mismo-momento_0_mC2nrLnsA.html,include
http://clarin.com/policiales/mato-pareja-hija-desayunar-companero-trabajo_0_Qo9bzEUjP.html,include
http://clarin.com/policiales/nordelta-detienen-hombre-golpeo-esposa-huyo-fortuna-auto-alta-gama_0_EtDi9GOPN.html,include
http://clarin.com/policiales/rescataron-nene-anos-atado-alambre-mama_0_LP_R1Cmbc.html,exclude
http://clarin.com/policiales/revocaron-prision-domiciliaria-cacho-garay-trasladaron-carcel_0_jghczj4Kf5.html,include
http://clarin.com/policiales/rosario-inquilina_mato_a_la_duena-pago_de_alquiler_0_1417058520.html,exclude
http://clarin.com/policiales/tucuman-mujer-policia-mato-hijo-4-anos-intento-suicidarse_0_ToKKapwyim.html,exclude
http://clarin.com/politica/patricia-bullrich-armado-electoral-2023-llamar-tiemble-mano-cagon-_0_I38X6WKE8k.html,exclude
http://clarin.com/sociedad/acuerdo-dijo-hombre-pareja-martillazos_0_1641435927.html,include
http://clarin.com/sociedad/alud-bariloche-identifican-turista-uruguayo-murio-barro-habitacion-hotel_0_NH10BxvnSU.html,exclude
http://clarin.com/sociedad/aprendia-manejar-quiso-sacar-auto-garage-atropello-hijos-murio_0_jwkDU3v5.html,exclude
http://clarin.com/sociedad/arrepentido-dijo-medico-apunalo-pareja-sigue-miedo-dieron-10-anos-prision_0_rJbl3imkM.html,include
http://clarin.com/sociedad/asesino-pareja-hirio-vecino-suicido-remedios-escalada_0_Zof08s-x6.html,include
http://clarin.com/sociedad/beba-Milagros_Melina_Benitez-padrastro-pilar_0_1375062765.html,include
http://clarin.com/sociedad/chica-convocada-facebook-pelear-mataron-balazos_0_H1qeqsm1W.html,exclude
http://clarin.com/sociedad/Detienen-hombre-golpeo-pareja-arrojarla_0_1374463003.html,include
http://clarin.com/sociedad/doble-femicidio-villa-lugano-mato-pareja-hijastra-anos-despues-quiso-suicidarse_0_Bklh-VH34Z.html,include
http://clarin.com/sociedad/femicida-amoladora-descuartizo-pareja-huyo-pais-pueden-atrapar_0_hA7ZIQ3uM.html,include
http://clarin.com/sociedad/Femicidio-Santa-Fe-escopetazo-suicido_0_1690630964.html,include
http://clarin.com/sociedad/grupo-chicas-entro-escuela-lanus-apunalo-adolescente-16-anos_0_4cYo8pUT.html,exclude
http://clarin.com/sociedad/hijos-femicidio-30-horas-chico-pierde-mama-cicatrices-eternas_0_ZZEZcdO3f.html,include
http://clarin.com/sociedad/insolita-explicacion-mujer-apunalo-pareja-chubut-querer-amo-_0_GChxnkEit4.html,review
http://clarin.com/sociedad/intento-femicidio-caballito-baleo-pareja-plena-calle-disparo-cabeza_0_3P59Et851.html,include
